date,content,thumbUp
0621,开播了！啊啊啊啊,23
0621,小明历险记开始啦,11
0621,来啦来啦为了姐姐们,4
0621,以前老在想这些姐姐要是能组女团简直火爆,3
0621,白冰，金莎，张萌，神话三美世纪同框,10
0621,姐姐们我来了,11
0621,姐姐们可都是30打底啊  ,8
0621,张雨绮冲冲冲,10
0621,啊啊啊啊啊 白冰姐姐我来啦！,5
0621,啊啊啊啊啊啊我爱了！,1
0621,姐姐们都是人间清醒,21
0621,不是三十而立吗,15
0621,我看哭了咋回事，我才二十岁啊,12
0621,任何时间都是我们的黄金时期,6
0621,万茜张雨绮吴昕沈梦辰，，，，姐姐们，冲鸭,1
0621,厉害了我的姐,11
0621,陈松伶太厉害了，声音无敌了哟,5
0621,加油姐姐们，加油我自己,1
0621,要是林志玲姐姐也能来的话直接出道！,1
0621,姐姐们冲鸭！！！奥利给！！,3
0621,王霏霏,5
0621,张含韵有30岁吗,0
0621,万姐综艺amezing,6
0621,吴昕吴昕,102
0621,冲姐姐们！！！,7
0621,旁白爱了爱了，终于来了,6
0621,姐姐们，我来了,1
0621,金晨加油有颜又有实力出道吧30是一个起点也是一个转折点,1
0621,为什不打名字，我不是全认识啊😂,14
0621,姐姐们都太棒了,24
0621,来啦来啦姐姐们我来啦hhhhhhhhhhhhh,2
0621,哇！！！！姐姐们太飒啦！！！,6
0621,我哭了我哭了,13
0621,姐姐们加油(ง •̀_•́)ง欣姐加油(ง •̀_•́)ง,2
0621,吴昕冲啊,52
0621,吴昕吴昕啊啊啊,36
0621,吴昕姐冲啊！！！,11
0621,静姐冲呀！！！,23
0621,30岁之后基本就靠化妆品了,1
0621,Fei  Jia我来了,6
0621,我万茜呢,27
0621,来了来了！姐姐们冲,9
0621,要想看唱歌跳舞养成记 我为什么不看去看隔壁的创造营,0
0621,我来啦！！！！！！！！！！！！11,1
0621,厉害啊芒果台,115
0621,为昕昕而来！！！,6
0621,啊啊啊啊啊啊啊啊，昕姐,62
0621,昕昕加油冲冲冲(〃'▽'〃),19
0621,昕昕,36
0621,真的播了哈哈哈哈 我来了,33
0621,这姐姐们的皮肤跟20多的有啥区别,63
0621,昕昕子冲啊,176
0621,吴昕吴昕冲鸭冲鸭,10
0621,昕昕好美,18
0621,喜欢姐姐！！！！！喜欢姐姐！！！,1
0621,白冰姐姐冲冲冲呀,10
0621,吴昕 加油啊啊,221
0621,超美的昕昕,77
0621,昕姐加油(ง •̀_•́)ง，你值得美好的,6
0621,吴昕！！,36
0621,姐姐们冲呀！！！,5
0621,真美哦，好漂亮陈松伶,2
0621,非得强调30岁吗,222
0621,昕昕子冲鸭,109
0621,昕昕，冲呀😁,43
0621,吴昕出道！！！,26
0621,昕昕加油,95
0621,昕昕子加油冲冲冲！！！,17
0621,昕昕加油,30
0621,天哪第一次看选秀综艺，竟是为了万茜,11
0621,孟佳加油,24
0621,昕昕啊,13
0621,解解们，天津人来报道了,3
0621,娱乐圈对三十以上的女星实在不太友好,1
0621,张雨绮C位出道,35
0621,能不能不要让吴昕在里面,21
0621,冲啊  加油加油,3
0621,万老板万老板！！！,1
